2021-10-05 22:48:34 - main_link_prediction.py[line:412] - INFO: - Namespace(batch_size=320000, dataset='MyDataset', decoder='DisMult', dropout=0.05, eval_every=1, fan_out='10,25', gpu=0, log_every=20, loss='CrossEntropyLoss', lr=0.001, margin=10.0, model='RGCN', neg_share=False, num_epochs=50, num_heads=[8, 4], num_hidden=64, num_layers=2, num_negs=1, num_output=64, num_workers=0)
2021-10-05 22:48:39 - main_link_prediction.py[line:168] - INFO: - --------------------------------------------------
2021-10-05 22:48:39 - main_link_prediction.py[line:169] - INFO: - Dataloader size: 109
2021-10-05 22:48:39 - main_link_prediction.py[line:170] - INFO: - Dataloader sample graph: 40787683
2021-10-05 22:48:39 - main_link_prediction.py[line:171] - INFO: - Train Edges: 34671896
2021-10-05 22:48:39 - main_link_prediction.py[line:172] - INFO: - Test Edges: 2037945
2021-10-05 22:48:39 - main_link_prediction.py[line:173] - INFO: - Valid Edges: 4077830
2021-10-05 22:48:39 - main_link_prediction.py[line:181] - INFO: - --------------------------------------------------
2021-10-05 23:18:46 - utils.py[line:544] - INFO: - F1 0.5035 | Precision 0.5022 | Recall 0.5048 | TP 161520.8438 | TN 159905.3906 | FP 160094.6094 | FN 158479.1562
2021-10-05 23:19:10 - utils.py[line:544] - INFO: - F1 0.5022 | Precision 0.5014 | Recall 0.5030 | TP 160944.5000 | TN 159933.2500 | FP 160066.7500 | FN 159055.4844
2021-10-05 23:19:35 - utils.py[line:544] - INFO: - F1 0.5018 | Precision 0.5011 | Recall 0.5024 | TP 160772.2344 | TN 159960.7656 | FP 160039.2344 | FN 159227.7500
2021-10-05 23:19:58 - utils.py[line:544] - INFO: - F1 0.5020 | Precision 0.5013 | Recall 0.5027 | TP 160861.9062 | TN 159944.4844 | FP 160055.5156 | FN 159138.0938
2021-10-05 23:20:23 - utils.py[line:544] - INFO: - F1 0.5024 | Precision 0.5015 | Recall 0.5033 | TP 161058.0312 | TN 159933.4531 | FP 160066.5469 | FN 158941.9688
2021-10-05 23:20:46 - utils.py[line:544] - INFO: - F1 0.5020 | Precision 0.5013 | Recall 0.5028 | TP 160883.5938 | TN 159946.9219 | FP 160053.0938 | FN 159116.4062
2021-10-05 23:20:46 - main_link_prediction.py[line:294] - INFO: - Epoch 00000 | Step 00080 | Loss 62.2254 | F1 0.5009 0.5006 0.5012 | Speed (samples/sec) 13332.7895|13332.7895 | Load 6.5691| train 17.4337 | GPU 2752.9 MB
2021-10-05 23:21:10 - utils.py[line:544] - INFO: - F1 0.5020 | Precision 0.5013 | Recall 0.5027 | TP 160877.1562 | TN 159950.9375 | FP 160049.0625 | FN 159122.8438
2021-10-05 23:21:34 - utils.py[line:544] - INFO: - F1 0.5025 | Precision 0.5016 | Recall 0.5034 | TP 161085.7188 | TN 159940.0312 | FP 160059.9688 | FN 158914.2812
2021-10-05 23:21:58 - utils.py[line:544] - INFO: - F1 0.5025 | Precision 0.5016 | Recall 0.5034 | TP 161090.8125 | TN 159941.7188 | FP 160058.2812 | FN 158909.1875
2021-10-05 23:22:22 - utils.py[line:544] - INFO: - F1 0.5028 | Precision 0.5018 | Recall 0.5039 | TP 161237.2188 | TN 159921.0938 | FP 160078.9062 | FN 158762.7812
2021-10-05 23:22:46 - utils.py[line:544] - INFO: - F1 0.5021 | Precision 0.5014 | Recall 0.5029 | TP 160923.2500 | TN 159955.3438 | FP 160044.6562 | FN 159076.7500
2021-10-05 23:23:10 - utils.py[line:544] - INFO: - F1 0.5039 | Precision 0.5024 | Recall 0.5053 | TP 161692.3125 | TN 159880.4844 | FP 160119.5156 | FN 158307.6875
2021-10-05 23:23:34 - utils.py[line:544] - INFO: - F1 0.5020 | Precision 0.5013 | Recall 0.5027 | TP 160851.9531 | TN 159964.0469 | FP 160035.9531 | FN 159148.0469
2021-10-05 23:23:59 - utils.py[line:544] - INFO: - F1 0.5026 | Precision 0.5017 | Recall 0.5035 | TP 161119.6875 | TN 159942.8906 | FP 160057.1094 | FN 158880.3281
2021-10-05 23:24:22 - utils.py[line:544] - INFO: - F1 0.5029 | Precision 0.5018 | Recall 0.5039 | TP 161261.1250 | TN 159920.0312 | FP 160079.9688 | FN 158738.8750
2021-10-05 23:24:47 - utils.py[line:544] - INFO: - F1 0.5023 | Precision 0.5015 | Recall 0.5032 | TP 161017.7656 | TN 159945.3125 | FP 160054.6875 | FN 158982.2344
2021-10-05 23:25:10 - utils.py[line:544] - INFO: - F1 0.5032 | Precision 0.5021 | Recall 0.5044 | TP 161406.5938 | TN 159930.8750 | FP 160069.1250 | FN 158593.4062
2021-10-05 23:25:34 - utils.py[line:544] - INFO: - F1 0.5023 | Precision 0.5015 | Recall 0.5031 | TP 161004.1875 | TN 159958.5938 | FP 160041.4062 | FN 158995.8125
2021-10-05 23:25:58 - utils.py[line:544] - INFO: - F1 0.5026 | Precision 0.5017 | Recall 0.5035 | TP 161117.6250 | TN 159950.0000 | FP 160050.0156 | FN 158882.3750
2021-10-05 23:26:22 - utils.py[line:544] - INFO: - F1 0.5028 | Precision 0.5018 | Recall 0.5038 | TP 161203.8594 | TN 159950.9219 | FP 160049.0781 | FN 158796.1406
